run,zp
401506,23.9
401507,21.38
401508,24.52
401509,23.9
401522,21.38
401523,24.52
401524,23.9
401525,21.38
401526,24.52
401527,23.9
401528,21.38
401529,24.52
401530,23.9
401531,21.38
401532,24.52
401533,23.9
401534,21.38
401535,24.52
401536,23.9
401537,21.38
401538,24.52
401539,23.9
401546,21.38
401547,24.52
401548,23.9
401549,21.38
401550,24.52
401551,23.9
401552,21.38
401553,24.52
401554,23.9
401555,21.38
401556,24.52
401557,23.9
401558,21.38
401559,24.52
401560,23.9
401561,21.38
401562,24.52
401563,23.9
401564,21.38
401565,24.52
401566,23.9
401567,21.38
401568,24.52
401569,23.9
401570,21.38
401571,24.52
401572,23.9
401582,21.38
401583,24.52
401584,23.9
401585,21.38
401586,24.52
401587,23.9
401588,21.38
401589,24.52
401590,23.9
401591,21.38
401592,24.52
401593,23.9
401594,21.38
401595,24.52
401596,23.9
401597,21.38
401598,24.52
401599,23.9
401600,21.38
401601,24.52
401602,23.9
401603,21.38
401604,24.52
401605,23.9
401606,21.38
401607,24.52
401608,23.9
401615,21.38
401616,24.52
401617,23.9
401618,21.38
401619,24.52
401620,23.9
401633,21.38
401634,24.52
401635,23.9
401636,21.38
401637,24.52
401638,23.9
401639,21.38
401640,24.52
401641,23.9
401642,21.38
401643,24.52
401644,23.9
401645,21.38
401646,24.52
401647,23.9
401648,21.38
401649,24.52
401650,23.9
401657,21.38
401658,24.52
401659,23.9
401660,21.38
401661,24.52
401662,23.9
401663,21.38
401664,24.52
401665,23.9
401666,21.38
401667,24.52
401668,23.9
402103,21.38
402104,24.52
402105,23.9
402106,21.38
402107,24.52
402108,23.9
402115,21.38
402116,24.52
402117,23.9
402118,21.38
402119,24.52
402120,23.9
402121,21.38
402122,24.52
402123,23.9
402124,21.38
402125,24.52
402126,23.9
402130,21.38
402131,24.52
402132,23.9
402133,21.38
402134,24.52
402135,23.9
402142,21.38
402143,24.52
402144,23.9
402145,21.38
402146,24.52
402147,23.9
402166,21.38
402167,24.52
402168,23.9
402169,21.38
402170,24.52
402171,23.9
402172,21.38
402173,24.52
402174,23.9
402175,21.38
402176,24.52
402177,23.9
402178,21.38
402179,24.52
402180,23.9
402181,21.38
402182,24.52
402183,23.9
402184,21.38
402185,24.52
402186,23.9
402187,21.38
402188,24.52
402189,23.9
402196,21.38
402197,24.52
402198,23.9
402199,21.38
402200,24.52
402201,23.9
402202,21.38
402203,24.52
402204,23.9
402205,21.38
402206,24.52
402207,23.9
402208,21.38
402209,24.52
402210,23.9
402211,21.38
402212,24.52
402213,23.9
402214,21.38
402215,24.52
402216,23.9
402217,21.38
402218,24.52
402219,23.9
402220,21.38
402221,24.52
402222,23.9
402223,21.38
402224,24.52
402225,23.9
402226,21.38
402227,24.52
402228,23.9
402229,21.38
402230,24.52
402231,23.9
402232,21.38
402233,24.52
402234,23.9
402235,21.38
402236,24.52
402237,23.9
402238,21.38
402239,24.52
402240,23.9
402241,21.38
402242,24.52
402243,23.9
402250,21.38
402251,24.52
402252,23.9
402253,21.38
402254,24.52
402255,23.9
402256,21.38
402257,24.52
402258,23.9
402259,21.38
402260,24.52
402261,23.9
402262,21.38
402263,24.52
402264,23.9
402265,21.38
402266,24.52
402267,23.9
402268,21.38
402269,24.52
402270,23.9
402271,21.38
402272,24.52
402273,23.9
407434,21.38
407435,24.52
407436,23.9
407437,21.38
407438,24.52
407439,23.9
407455,21.38
407456,24.52
407457,23.9
407458,21.38
407459,24.52
407460,23.9
407461,21.38
407462,24.52
407463,23.9
407464,21.38
407465,24.52
407466,23.9
407479,21.38
407480,24.52
407481,23.9
407482,21.38
407483,24.52
407484,23.9
407485,21.38
407486,24.52
407487,23.9
407488,21.38
407489,24.52
407490,23.9
407491,21.38
407492,24.52
407493,23.9
407494,21.38
407495,24.52
407496,23.9
407497,21.38
407498,24.52
407499,23.9
407500,21.38
407501,24.52
407502,23.9
407503,21.38
407504,24.52
407505,23.9
407506,21.38
407507,24.52
407508,23.9
407575,21.38
407576,24.52
407577,23.9
407578,21.38
407579,24.52
407580,23.9
407581,21.38
407582,24.52
407583,23.9
407584,21.38
407585,24.52
407586,23.9
407593,21.38
407594,24.52
407595,23.9
407596,21.38
407597,24.52
407598,23.9
408081,21.38
408082,24.52
408083,23.93
408084,21.38
408085,24.52
408086,23.93
408087,21.38
408088,24.52
408089,23.93
408090,21.38
408091,24.52
408092,23.93
408093,21.38
408094,24.52
408095,23.93
408096,21.38
408097,24.52
408098,23.93
408099,21.38
408100,24.52
408101,23.93
408102,21.38
408103,24.52
408104,23.93
408105,21.38
408106,24.52
408107,23.93
408108,21.38
408109,24.52
408110,23.93
408111,21.38
408112,24.52
408113,23.93
408114,21.38
408115,24.52
408116,23.93
408123,21.38
408124,24.52
408125,23.93
408126,21.38
408127,24.52
408128,23.93
408144,21.38
408145,24.52
408146,23.93
408147,21.38
408148,24.52
408149,23.93
408162,21.38
408163,24.52
408164,23.93
408165,21.38
408166,24.52
408167,23.93
408168,21.38
408169,24.52
408170,23.93
408171,21.38
408172,24.52
408173,23.93
408174,21.38
408175,24.52
408176,23.93
408177,21.38
408178,24.52
408179,23.93
408258,21.38
408259,24.52
408260,23.93
408261,21.38
408262,24.52
408263,23.93
408264,21.38
408265,24.52
408266,23.93
408267,21.38
408268,24.52
408269,23.93
408270,21.38
408271,24.52
408272,23.93
408273,21.38
408274,24.52
408275,23.93
408279,21.38
408280,24.52
408281,23.93
408282,21.38
408283,24.52
408284,23.93
408285,21.38
408286,24.52
408287,23.93
408288,21.38
408289,24.52
408290,23.93
408291,21.38
408292,24.52
408293,23.93
408294,21.38
408295,24.52
408296,23.93
408303,21.38
408304,24.52
408305,23.93
408306,21.38
408307,24.52
408308,23.93
408309,21.38
408310,24.52
408311,23.93
408312,21.38
408313,24.52
408314,23.93
408315,21.38
408316,24.52
408317,23.93
408318,21.38
408319,24.52
