run,zp
360367,21.32
360370,21.32
360373,21.32
360376,21.32
360379,21.32
360382,21.32
360385,21.32
360394,21.32
360397,21.32
360400,21.32
360403,21.32
360406,21.32
360409,21.32
360412,21.32
360415,21.32
360418,21.32
360421,21.32
360424,21.32
360436,21.32
360445,21.32
360451,21.32
360448,21.32
360455,21.32
360458,21.32
360461,21.32
360464,21.32
360467,21.32
360470,21.32
360476,21.32
360479,21.32
360482,21.32
360485,21.32
360488,21.32
360491,21.32
360494,21.32
360503,21.32
360506,21.32
360509,21.32
360512,21.32
360515,21.32
360518,21.32
360521,21.32
360524,21.32
360527,21.32
360536,21.32
360533,21.32
360539,21.32
360542,21.32
360545,21.32
360548,21.32
360551,21.32
360554,21.32
360557,21.32
360560,21.32
360563,21.32
360566,21.32
360569,21.32
360578,21.32
360575,21.32
360643,21.33
360646,21.33
360649,21.33
360652,21.33
360655,21.33
360658,21.33
360661,21.33
360664,21.33
360670,21.33
360673,21.33
360676,21.33
360679,21.33
360682,21.33
360685,21.33
360688,21.33
360691,21.33
360694,21.33
360700,21.33
360703,21.33
360706,21.33
360709,21.33
360712,21.33
360715,21.33
360718,21.33
360727,21.33
360730,21.33
360733,21.33
360736,21.33
360742,21.33
360745,21.33
360748,21.33
360751,21.33
360754,21.33
360757,21.33
360760,21.33
360769,21.33
360772,21.33
360775,21.33
360778,21.33
360781,21.33
360785,21.33
360788,21.33
360791,21.33
360797,21.33
360800,21.33
360803,21.33
360806,21.33
360809,21.33
360812,21.33
360815,21.33
360818,21.33
360821,21.33
360827,21.33
360830,21.33
360833,21.33
360836,21.33
360839,21.33
360842,21.33
360845,21.33
360854,21.33
360858,21.33
360861,21.33
360864,21.33
360870,21.33
360873,21.33
360876,21.33
360879,21.33
360882,21.33
360885,21.33
360888,21.33
360899,21.33
360902,21.33
360906,21.33
360909,21.33
360912,21.33
360915,21.33
360918,21.33
358885,21.22
358909,21.22
358912,21.22
358942,21.22
358986,21.22
359013,21.22
359037,21.22
359040,21.22
359070,21.22
359107,21.22
359110,21.22
359234,21.38
359237,21.38
359276,21.38
359279,21.38
359309,21.38
359333,21.38
359360,21.38
359363,21.38
359402,21.38
359405,21.38
359435,21.38
359565,21.32
359593,21.32
359618,21.32
359621,21.32
359651,21.32
359695,21.32
359719,21.32
359722,21.32
359749,21.32
359780,21.32
359804,21.32
359807,21.32
359822,21.32
359852,21.32
359912,21.24
359943,21.24
359968,21.24
359971,21.24
359987,21.24
360012,21.24
360015,21.24
360043,21.24
360070,21.24
360073,21.24
360112,21.24
360115,21.24
360146,21.24
360170,21.24
360251,21.32
360297,21.32
360321,21.32
360324,21.32
360361,21.32
360388,21.32
360391,21.32
360439,21.32
360442,21.32
360473,21.32
360497,21.32
360500,21.32
360530,21.32
360572,21.32
360637,21.33
360640,21.33
360667,21.33
360697,21.33
360721,21.33
360724,21.33
360739,21.33
360763,21.33
360766,21.33
360794,21.33
360824,21.33
360848,21.33
360851,21.33
360867,21.33
360891,21.33
360896,21.33
360921,21.33
360924,21.33
360291,21.32
358860,21.22
358857,21.22
358854,21.22
378579,21.42
378603,21.42
378698,21.42
378722,21.42
378767,21.42
378921,21.26
378946,21.26
378991,21.26
379116,21.5
379184,21.5
379260,21.5
379326,21.5
379406,21.45
379482,21.45
379529,21.45
379637,21.5
379704,21.5
379779,21.5
379846,21.5
379913,21.5
379988,21.5
380056,21.46
380059,21.46
380062,21.46
380065,21.46
380068,21.46
380071,21.46
380077,21.46
380083,21.46
380086,21.46
380098,21.46
380089,21.46
380092,21.46
380095,21.46
380101,21.46
380104,21.46
380107,21.46
380110,21.46
380113,21.46
380121,21.46
380131,21.46
380134,21.46
380137,21.46
380140,21.46
380143,21.46
380146,21.46
380152,21.46
380161,21.46
380155,21.46
380158,21.46
380164,21.46
380167,21.46
380170,21.46
380173,21.46
380176,21.46
380179,21.46
380182,21.46
380185,21.46
380188,21.46
380191,21.46
380200,21.46
380206,21.46
380212,21.46
380215,21.46
380221,21.46
380227,21.46
380218,21.46
380224,21.46
380230,21.46
380233,21.46
380236,21.46
380239,21.46
380242,21.46
380245,21.46
380248,21.46
380257,21.46
380260,21.46
380263,21.46
380266,21.46
380269,21.46
380272,21.46
380278,21.46
380287,21.46
380281,21.46
380284,21.46
380290,21.46
380293,21.46
380296,21.46
380299,21.46
380302,21.46
380305,21.46
380308,21.46
380311,21.46
380314,21.46
380317,21.46
380326,21.46
380332,21.46
380338,21.46
380341,21.46
380347,21.46
380353,21.46
380344,21.46
380350,21.46
380356,21.46
380359,21.46
380362,21.46
380365,21.46
380368,21.46
380371,21.46
380374,21.46
380383,21.46
380386,21.46
380389,21.46
380392,21.46
