RUN,CCD,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,REFRUN
480944,1,75.030914,43.883743,-319.5,3073.45,-1.2775383e-06,-9.2468361e-05,-9.246033e-05,1.3154732e-06,480945
481438,3,328.43195,53.045582,3919.7,2938.0,-1.6047538e-06,-9.2398952e-05,-9.2513925e-05,1.5947695e-06,481440
481443,4,328.56482,53.132515,1790.85,3019.65,-1.3660334e-06,-9.2453032e-05,-9.2445189e-05,1.3516798e-06,481442
481533,3,335.87103,52.399155,3895.2,2932.4,-1.603825e-06,-9.2463481e-05,-9.2483329e-05,1.6116688e-06,481532
481538,1,76.4291,44.245605,-311.95,3063.45,-1.2297133e-06,-9.2522729e-05,-9.2470545e-05,1.2664589e-06,481539
481583,1,76.901405,46.349186,-333.07,3064.95,-1.2273401e-06,-9.2498085e-05,-9.2480346e-05,1.2515975e-06,481584
481887,1,313.16196,47.36586,-310.31,3075.9,-1.4015919e-06,-9.2476002e-05,-9.2462513e-05,1.4397809e-06,481886
481960,3,352.1857,66.06356,3895.35,2933.35,-1.5669069e-06,-9.2411402e-05,-9.2511094e-05,1.5799839e-06,481962
482054,1,63.475502,56.897949,-303.01,3065.85,-1.2079441e-06,-9.2476604e-05,-9.2454502e-05,1.2699216e-06,482055
482226,1,78.658585,38.101604,-317.25,3061.95,-1.2909544e-06,-9.2493101e-05,-9.2479117e-05,1.3065921e-06,482227
483033,3,65.292412,56.345547,3895.05,2928.45,-1.470567e-06,-9.2497176e-05,-9.2493879e-05,1.4630472e-06,483032
483112,1,65.532372,54.597965,-319.55,3073.35,-1.0841535e-06,-9.2439443e-05,-9.2567396e-05,1.17343e-06,483114
483113,1,65.532372,54.597965,-319.7,3072.6,-1.0841535e-06,-9.2499443e-05,-9.2567396e-05,1.17343e-06,483114
483114,1,65.532387,54.597984,-319.45,3072.3,-1.1289499e-06,-9.2520028e-05,-9.2568513e-05,1.1695488e-06,483113
483145,3,91.463364,18.948093,3897.55,2936.85,-1.4925363e-06,-9.2404511e-05,-9.2487695e-05,1.4916405e-06,483147
483192,3,91.646019,19.500721,3895.8,2950.65,-1.5161727e-06,-9.2478847e-05,-9.2503717e-05,1.4931144e-06,483191
483326,1,65.762939,48.831387,-317.06,3058.45,-1.2280939e-06,-9.2502778e-05,-9.2454007e-05,1.2612177e-06,483327
483351,3,65.873886,54.145569,3916.15,2950.15,-1.4383974e-06,-9.2477436e-05,-9.2519957e-05,1.4151452e-06,483352
483433,1,91.83889,24.448112,-330.01,3061.4,-1.2604952e-06,-9.2490576e-05,-9.247374e-05,1.2983645e-06,483432
483546,3,92.247429,25.548079,3902.75,2932.75,-1.5011938e-06,-9.2473005e-05,-9.2496048e-05,1.5019266e-06,483547
484170,3,66.506905,49.015862,3898.8,2952.0,-1.4459322e-06,-9.2485207e-05,-9.2511509e-05,1.4266291e-06,484171
485343,3,94.359062,19.949289,3895.1,2942.1,-1.5120452e-06,-9.2485388e-05,-9.2504531e-05,1.4989935e-06,485344
485515,3,94.379799,21.41242,3885.1,2949.0,-1.4838386e-06,-9.2476315e-05,-9.2486633e-05,1.466739e-06,485514
486117,3,353.60556,60.280132,3903.35,2940.4,-1.586449e-06,-9.2470378e-05,-9.2524497e-05,1.5741518e-06,486118
486171,3,354.12213,60.830112,3909.7,2929.6,-1.5442207e-06,-9.2478998e-05,-9.243907e-05,1.5900998e-06,486170
486172,3,354.12213,60.830112,3908.5,2928.4,-1.5842207e-06,-9.2468998e-05,-9.243907e-05,1.5900998e-06,486170
486284,1,86.458801,20.312374,-311.69,3059.1,-1.2754917e-06,-9.2401016e-05,-9.2466056e-05,1.3017467e-06,486286
486287,3,86.511993,22.244528,3906.6,2939.25,-1.4872766e-06,-9.2379581e-05,-9.2500595e-05,1.4817595e-06,486289
486372,3,87.347015,23.067219,3889.25,2932.25,-1.5035511e-06,-9.2457194e-05,-9.2461138e-05,1.5050633e-06,486373
530547,3,31.976479,60.014664,3897.9,2954.2,-1.3386017e-06,-9.2474278e-05,-9.2506969e-05,1.3173189e-06,530546
562345,2,291.08694,15.275588,3145.7,1747.45,9.2368202e-05,-1.5515496e-07,-2.1440151e-07,-9.2397822e-05,562344
562346,2,291.08694,15.275588,3147.05,1748.95,9.2368202e-05,-1.5515496e-07,-2.1440151e-07,-9.2397822e-05,562344
563841,2,287.2363,9.5945377,3116.75,1759.3,9.2397117e-05,-1.6916093e-07,-1.9247183e-07,-9.2433947e-05,563843
564077,2,286.23511,1.9778882,3143.3,1750.1,9.244134e-05,-1.5909113e-07,-2.028378e-07,-9.2460461e-05,564078
564148,4,287.97385,7.4005303,1723.05,3043.2,-1.2170136e-06,-9.2395084e-05,-9.2447299e-05,1.1679718e-06,564150
564149,4,287.97385,7.4005303,1723.5,3039.75,-1.2170136e-06,-9.2505084e-05,-9.2447299e-05,1.1679718e-06,564150
564150,4,287.97379,7.3993502,1735.8,3040.4,-1.2106467e-06,-9.2509057e-05,-9.2436559e-05,1.1594876e-06,564149
564151,1,288.05905,7.4838686,-388.81,3044.0,-1.2393502e-06,-9.2442707e-05,-9.2532486e-05,1.2432135e-06,564153
564151,4,288.05783,7.4838686,1723.2,3039.45,-1.200445e-06,-9.244423e-05,-9.2426075e-05,1.1424673e-06,564153
564152,1,288.05905,7.4838686,-389.71,3041.6,-1.2393502e-06,-9.2522707e-05,-9.2532486e-05,1.2432135e-06,564153
564152,4,288.05783,7.4838686,1723.5,3037.05,-1.200445e-06,-9.251423e-05,-9.2426075e-05,1.1424673e-06,564153
564153,1,288.05902,7.4826837,-377.2,3042.2,-1.2442879e-06,-9.251335e-05,-9.2525413e-05,1.244399e-06,564152
564153,4,288.0578,7.4826837,1736.25,3037.55,-1.1988737e-06,-9.2511174e-05,-9.2420749e-05,1.1456749e-06,564152
564163,2,288.05585,8.9433613,3142.25,1748.4,9.2427268e-05,-1.8772684e-07,-1.8289394e-07,-9.2449329e-05,564164
564165,2,288.05585,8.9433613,3142.25,1748.4,9.2427268e-05,-1.8772684e-07,-1.8289394e-07,-9.2449329e-05,564164
564322,2,288.70361,9.5945358,3134.4,1749.2,9.2399154e-05,-1.6346335e-07,-1.9957207e-07,-9.2455186e-05,564323
569694,4,284.69046,1.9017316,1716.55,3041.4,-1.2044007e-06,-9.2477472e-05,-9.2449569e-05,1.1914419e-06,569696
569923,4,285.7854,2.2707896,1690.35,3051.8,-1.1891339e-06,-9.2499264e-05,-9.246439e-05,1.20649e-06,569924
569967,4,285.86682,9.6838808,1721.55,3044.35,-1.2599233e-06,-9.2425081e-05,-9.242769e-05,1.2223559e-06,569969
570219,4,295.57028,24.089832,1704.45,3050.9,-1.196341e-06,-9.250272e-05,-9.2448383e-05,1.2020827e-06,570218
571339,4,304.75452,27.938599,1692.45,3044.65,-1.2218294e-06,-9.2404176e-05,-9.2447895e-05,1.2194599e-06,571341
571679,4,297.97675,26.365948,1801.7,3023.5,-1.2546017e-06,-9.2492599e-05,-9.2476068e-05,1.2287674e-06,571680
633594,3,67.493629,55.431389,3894.15,3018.95,-1.3219281e-06,-9.2554265e-05,-9.2460847e-05,1.2070575e-06,633593
633595,3,67.493629,55.431389,3896.1,3018.35,-1.3019281e-06,-9.2574265e-05,-9.2460847e-05,1.2070575e-06,633593
676988,2,281.4007,-0.67317796,3180.65,1756.1,9.2371389e-05,-3.6646958e-07,-3.5765865e-07,-9.2440314e-05,676987
676989,2,281.4007,-0.67317796,3179.9,1756.1,9.2371389e-05,-3.6646958e-07,-3.5765865e-07,-9.2440314e-05,676987
677777,2,293.50259,20.964428,3192.7,1747.9,9.2453149e-05,-3.3065317e-07,-3.2076275e-07,-9.2444861e-05,677778
686190,2,308.08017,33.331867,3136.5,1744.6,9.2417184e-05,-3.2500034e-07,-3.4371348e-07,-9.2433584e-05,686192
687047,2,290.90222,16.196964,3121.55,1748.6,9.2408482e-05,-3.428309e-07,-3.6536315e-07,-9.2434253e-05,687049
687162,2,290.07593,13.535369,3132.4,1744.3,9.242387e-05,-3.801434e-07,-3.8189924e-07,-9.2447423e-05,687163
687566,2,32.929371,58.264355,3134.8,1753.5,9.2428243e-05,-6.5779702e-08,-6.4987731e-08,-9.2462906e-05,687565
687801,2,290.35529,14.550324,3123.9,1752.0,9.2389419e-05,-3.8006249e-07,-3.6471479e-07,-9.2427043e-05,687802
687822,3,52.396954,62.034138,3832.4,3011.85,-1.2564327e-06,-9.2546051e-05,-9.2417235e-05,1.1748792e-06,687821
687823,2,52.39323,62.027679,3140.65,1754.0,9.2390372e-05,4.9908687e-08,2.0320561e-08,-9.2386537e-05,687821
687823,3,52.396954,62.034138,3833.75,3010.95,-1.2564327e-06,-9.2536051e-05,-9.2417235e-05,1.1748792e-06,687821
687827,3,52.357433,61.117241,3832.0,3019.9,-1.2783162e-06,-9.2452895e-05,-9.2489223e-05,1.2024259e-06,687829
687828,3,52.357433,61.117241,3834.4,3019.15,-1.2883162e-06,-9.2532895e-05,-9.2489223e-05,1.2024259e-06,687829
687846,2,36.950493,57.082607,3134.55,1752.6,9.2454982e-05,-5.91305e-08,-5.2711247e-08,-9.245496e-05,687847
703205,2,70.574089,43.231075,3141.85,1753.4,9.2443544e-05,3.1679171e-08,3.9689045e-08,-9.2448186e-05,703204
703474,2,21.594706,65.591827,3127.85,1760.5,9.2428658e-05,1.197911e-07,1.0342819e-07,-9.2451322e-05,703473
703869,2,3.9597888,63.033554,3122.7,1755.1,9.2450173e-05,-2.0337835e-08,-2.8824733e-08,-9.2461923e-05,703868
750368,2,302.13629,33.514378,3170.5,1753.4,9.2438211e-05,-3.0857555e-07,-3.2830559e-07,-9.2447452e-05,750367
764497,1,83.414345,36.001591,-333.23,3050.1,-1.1785271e-06,-9.2409419e-05,-9.2477734e-05,1.2062436e-06,764499
764497,2,83.416832,35.999462,3191.8,1749.6,9.246383e-05,-1.2006528e-07,-1.0852798e-07,-9.2463357e-05,764499
764497,3,83.411453,36.000992,3878.4,3020.75,-1.4047786e-06,-9.247116e-05,-9.2503862e-05,1.3284996e-06,764499
764497,4,83.413429,36.002186,1773.65,3039.65,-1.1949018e-06,-9.24333e-05,-9.2460403e-05,1.1431842e-06,764499
919974,2,290.5416,13.631132,3185.5,1748.2,9.2448303e-05,-3.4878971e-07,-3.7116507e-07,-9.2452326e-05,919975
921331,2,289.71021,10.963606,3180.15,1752.05,9.243159e-05,-3.5326784e-07,-3.9585825e-07,-9.2453192e-05,921332
687829,2,52.35733,61.111061,3152.0,1753.7,9.2391296e-05,4.0321093e-08,1.4758077e-08,-9.2391543e-05,687827
703015,2,0.28634426,60.561825,3121.55,1766.05,9.2427241e-05,-7.934255e-09,-1.7115974e-08,-9.2371069e-05,703014
703016,2,0.28634426,60.561825,3120.95,1765.9,9.2427241e-05,2.065745e-09,-1.7115974e-08,-9.2371069e-05,703014
572473,4,286.22885,10.79105,1709.0,3043.2,-1.2008901e-06,-9.2426193e-05,-9.24427e-05,1.1903414e-06,572475
572474,4,286.22885,10.79105,1709.15,3041.4,-1.2008901e-06,-9.2496193e-05,-9.24427e-05,1.1903414e-06,572475
461690,1,298.035,22.432638,-332.18,3055.35,-1.2507437e-06,-9.2415032e-05,-9.2473027e-05,1.286112e-06,461692
461691,1,298.035,22.432638,-333.53,3055.65,-1.2507437e-06,-9.2485032e-05,-9.2473027e-05,1.286112e-06,461692
459709,1,293.92615,11.88028,-312.18,3066.55,-1.2453319e-06,-9.2418201e-05,-9.2487651e-05,1.2848079e-06,459711
